;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2001/03/16;ファミコン ROMカートリッジデーターベース
;2002/02/26 パチンコ大作戦1と2を逆になってたのを修正。
;
;データーベースのフォーマットは以下の通りです。
;
;	ALL-CRC32;PRG-CRC32;geme name;rom-info(1);rom-info(2);PRG-size/16;CHR-size/8;Contry;maker;"...etc"
;
;rom-info(1)
;ビット0:ミラーリング設定(0=横方向、1=縦方向)
;ビット1:バッテリーバックアップの有無
;ビット2:トレイナー(パッチ)の有無
;ビット3:画面モード（0=1画面モード、1=2画面モード)
;ビット4－7:マッパ番号の下位4ビット
;
;rom-info(2)
;ビット0-3:未使用
;ビット4-7:マッパ番号の上位4ビット
;
;それぞれを10進数に変更した数字が載っています。
;
;
;「"」で囲った部分,< >内はランチャにおいて非表示になります。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
656fa3b5;c9c2a1ec;アーガス;113;80;2;2;J;ジャレコ;1986/4/17;4900;STG
1f74ea6c;1f74ea6c;アークティック;32;0;8;0;J;ポニーキャニオン;1990/2/23;5500;PZL
656d4265;d31e4238;アーバンチャンピオン;1;0;1;1;J;任天堂;1984/11/14;4500;ACT
b7773a07;b7773a07;嗚呼！野球人生一直線;65;0;32;0;J;サミー;1992/12/25;7300;TAB
37f59450;37f59450;バルバルークの伝説より アイギーナの予言;33;0;8;0;J;ビック東海;1986/11/21;5300;ACT
0b58880c;d548307f;アイスクライマー" (ROM版)";0;0;1;1;J;任天堂;1985/1/30;4500;ACT
283ad224;fd3fc292;愛先生のO・SHI・E・TEわたしの星;0;32;16;16;J;アイレム;1993/3/26;12800;ETC
8da4e539;64a75e8d;アイドル八犬伝;16;0;8;16;J;トーワチキ;1989/9/14;6000;ADV
aa4318ae;1dea55eb;I LOVE ソフトボール;16;0;8;16;J;ココナッツジャパン;1989/12/19;6500;SPT
838bf76f;838bf76f;アウトランダーズ;33;0;8;0;J;ビクター音楽産業;1987/12/4;5300;RPG
